,precision,recall,f1-score,support,Model
Africa,0.99609375,0.995121951,0.995607613,1025,Logistic Regression
Central and South America,0.899253731,0.870036101,0.88440367,277,Logistic Regression
East and Southeast Asia,0.998930481,0.994675186,0.996798292,939,Logistic Regression
Europe,0.952045134,0.954738331,0.953389831,707,Logistic Regression
Middle East,0.918604651,0.969325153,0.943283582,163,Logistic Regression
Native Americans,0.954022989,0.976470588,0.965116279,85,Logistic Regression
Oceania,1,1,1,29,Logistic Regression
South Asia,0.982876712,0.984562607,0.983718937,583,Logistic Regression
accuracy,0.975315126,0.975315126,0.975315126,0.975315126,Logistic Regression
macro avg,0.962728431,0.96811624,0.965289776,3808,Logistic Regression
weighted avg,0.975321073,0.975315126,0.975266826,3808,Logistic Regression
Africa,0.999021526,0.996097561,0.997557401,1025,Random Forest
Central and South America,0.983516484,0.646209386,0.779956427,277,Random Forest
East and Southeast Asia,0.99155227,1,0.995758218,939,Random Forest
Europe,0.898457584,0.988684583,0.941414141,707,Random Forest
Middle East,0.981707317,0.987730061,0.98470948,163,Random Forest
Native Americans,0.987951807,0.964705882,0.976190476,85,Random Forest
Oceania,1,1,1,29,Random Forest
South Asia,0.953565506,0.986277873,0.969645868,583,Random Forest
accuracy,0.96769958,0.96769958,0.96769958,0.96769958,Random Forest
macro avg,0.974471562,0.946213168,0.955654002,3808,Random Forest
weighted avg,0.969440943,0.96769958,0.965579939,3808,Random Forest
Africa,0.999020568,0.995121951,0.997067449,1025,Gradient Boosting
Central and South America,0.939516129,0.841155235,0.887619048,277,Gradient Boosting
East and Southeast Asia,0.99787234,0.998935037,0.998403406,939,Gradient Boosting
Europe,0.958448753,0.978783593,0.968509447,707,Gradient Boosting
Middle East,0.953216374,1,0.976047904,163,Gradient Boosting
Native Americans,0.975903614,0.952941176,0.964285714,85,Gradient Boosting
Oceania,0.965517241,0.965517241,0.965517241,29,Gradient Boosting
South Asia,0.974747475,0.993138937,0.983857264,583,Gradient Boosting
accuracy,0.980567227,0.980567227,0.980567227,0.980567227,Gradient Boosting
macro avg,0.970530312,0.965699146,0.967663434,3808,Gradient Boosting
weighted avg,0.980428388,0.980567227,0.980239093,3808,Gradient Boosting
Africa,0.992240543,0.99804878,0.995136187,1025,Neural Network (MLP)
Central and South America,0.946564885,0.895306859,0.920222635,277,Neural Network (MLP)
East and Southeast Asia,0.997870075,0.997870075,0.997870075,939,Neural Network (MLP)
Europe,0.969230769,0.98019802,0.974683544,707,Neural Network (MLP)
Middle East,0.95,0.932515337,0.941176471,163,Neural Network (MLP)
Native Americans,0.911111111,0.964705882,0.937142857,85,Neural Network (MLP)
Oceania,1,1,1,29,Neural Network (MLP)
South Asia,0.989690722,0.987993139,0.988841202,583,Neural Network (MLP)
accuracy,0.982142857,0.982142857,0.982142857,0.982142857,Neural Network (MLP)
macro avg,0.969588513,0.969579762,0.969384121,3808,Neural Network (MLP)
weighted avg,0.982083855,0.982142857,0.982032788,3808,Neural Network (MLP)
Africa,0.97260274,0.969756098,0.971177333,1025,Decision Tree
Central and South America,0.662835249,0.624548736,0.643122677,277,Decision Tree
East and Southeast Asia,0.965957447,0.966986155,0.966471527,939,Decision Tree
Europe,0.849108368,0.87553041,0.862116992,707,Decision Tree
Middle East,0.962732919,0.950920245,0.956790123,163,Decision Tree
Native Americans,0.938271605,0.894117647,0.915662651,85,Decision Tree
Oceania,0.965517241,0.965517241,0.965517241,29,Decision Tree
South Asia,0.829059829,0.831903945,0.830479452,583,Decision Tree
accuracy,0.902836134,0.902836134,0.902836134,0.902836134,Decision Tree
macro avg,0.893260675,0.88491006,0.888917249,3808,Decision Tree
weighted avg,0.902283945,0.902836134,0.902466613,3808,Decision Tree
