,precision,recall,f1-score,support,Model
A,0.971098266,0.971098266,0.971098266,346,Logistic Regression
AB,0.862068966,0.892857143,0.877192982,56,Logistic Regression
B,0.962962963,0.971962617,0.96744186,107,Logistic Regression
O,0.985714286,0.97733711,0.981507824,353,Logistic Regression
accuracy,0.968677494,0.968677494,0.968677494,0.968677494,Logistic Regression
macro avg,0.94546112,0.953313784,0.949310233,862,Logistic Regression
weighted avg,0.968990768,0.968677494,0.968806668,862,Logistic Regression
A,0.971098266,0.971098266,0.971098266,346,Random Forest
AB,0.890909091,0.875,0.882882883,56,Random Forest
B,0.980769231,0.953271028,0.966824645,107,Random Forest
O,0.974789916,0.985835694,0.98028169,353,Random Forest
accuracy,0.968677494,0.968677494,0.968677494,0.968677494,Random Forest
macro avg,0.954391626,0.946301247,0.950271871,862,Random Forest
weighted avg,0.968600994,0.968677494,0.968597581,862,Random Forest
A,0.968208092,0.968208092,0.968208092,346,Gradient Boosting
AB,0.827586207,0.857142857,0.842105263,56,Gradient Boosting
B,0.952380952,0.934579439,0.943396226,107,Gradient Boosting
O,0.980169972,0.980169972,0.980169972,353,Gradient Boosting
accuracy,0.961716937,0.961716937,0.961716937,0.961716937,Gradient Boosting
macro avg,0.932086306,0.93502509,0.933469888,862,Gradient Boosting
weighted avg,0.962006484,0.961716937,0.961834444,862,Gradient Boosting
A,0.968390805,0.973988439,0.971181556,346,Neural Network (MLP)
AB,0.888888889,0.857142857,0.872727273,56,Neural Network (MLP)
B,0.971153846,0.943925234,0.957345972,107,Neural Network (MLP)
O,0.974719101,0.983002833,0.978843441,353,Neural Network (MLP)
accuracy,0.966357309,0.966357309,0.966357309,0.966357309,Neural Network (MLP)
macro avg,0.95078816,0.939514841,0.94502456,862,Neural Network (MLP)
weighted avg,0.966160441,0.966357309,0.966205684,862,Neural Network (MLP)
A,0.961876833,0.947976879,0.954876274,346,Decision Tree
AB,0.738461538,0.857142857,0.79338843,56,Decision Tree
B,0.952830189,0.943925234,0.948356808,107,Decision Tree
O,0.982857143,0.974504249,0.978662873,353,Decision Tree
accuracy,0.952436195,0.952436195,0.952436195,0.952436195,Decision Tree
macro avg,0.909006426,0.930887305,0.918821096,862,Decision Tree
weighted avg,0.95483136,0.952436195,0.953316839,862,Decision Tree
