,precision,recall,f1-score,support,Model
Blue/Blue-Mixed,0.807807808,0.8608,0.833462432,625,Logistic Regression
Green/Light-Mixed,0.779746835,0.706422018,0.741275572,436,Logistic Regression
accuracy,0.79736098,0.79736098,0.79736098,0.79736098,Logistic Regression
macro avg,0.793777322,0.783611009,0.787369002,1061,Logistic Regression
weighted avg,0.796276626,0.79736098,0.795579801,1061,Logistic Regression
Blue/Blue-Mixed,0.792998478,0.8336,0.812792512,625,Random Forest
Green/Light-Mixed,0.742574257,0.688073394,0.714285714,436,Random Forest
accuracy,0.773798303,0.773798303,0.773798303,0.773798303,Random Forest
macro avg,0.767786368,0.760836697,0.763539113,1061,Random Forest
weighted avg,0.772277498,0.773798303,0.77231281,1061,Random Forest
Blue/Blue-Mixed,0.795422031,0.8896,0.839879154,625,Gradient Boosting
Green/Light-Mixed,0.809392265,0.672018349,0.73433584,436,Gradient Boosting
accuracy,0.800188501,0.800188501,0.800188501,0.800188501,Gradient Boosting
macro avg,0.802407148,0.780809174,0.787107497,1061,Gradient Boosting
weighted avg,0.801162863,0.800188501,0.796507915,1061,Gradient Boosting
Blue/Blue-Mixed,0.786729858,0.7968,0.791732909,625,Neural Network (MLP)
Green/Light-Mixed,0.703271028,0.690366972,0.696759259,436,Neural Network (MLP)
accuracy,0.753063148,0.753063148,0.753063148,0.753063148,Neural Network (MLP)
macro avg,0.745000443,0.743583486,0.744246084,1061,Neural Network (MLP)
weighted avg,0.752433864,0.753063148,0.752705095,1061,Neural Network (MLP)
Blue/Blue-Mixed,0.75487013,0.744,0.749395649,625,Decision Tree
Green/Light-Mixed,0.640449438,0.653669725,0.646992054,436,Decision Tree
accuracy,0.706880302,0.706880302,0.706880302,0.706880302,Decision Tree
macro avg,0.697659784,0.698834862,0.698193852,1061,Decision Tree
weighted avg,0.707850882,0.706880302,0.707314624,1061,Decision Tree
