,precision,recall,f1-score,support,Model
Blue/Blue-Mixed,0.79245283,0.8736,0.831050228,625,Logistic Regression
Dark-Mixed/Brown,0.833922261,0.805460751,0.819444444,586,Logistic Regression
Green/Light-Mixed,0.545918367,0.490825688,0.516908213,436,Logistic Regression
accuracy,0.748026715,0.748026715,0.748026715,0.748026715,Logistic Regression
macro avg,0.72409782,0.72329548,0.722467628,1647,Logistic Regression
weighted avg,0.741944063,0.748026715,0.743760059,1647,Logistic Regression
Blue/Blue-Mixed,0.772795217,0.8272,0.799072643,625,Random Forest
Dark-Mixed/Brown,0.78440367,0.875426621,0.827419355,586,Random Forest
Green/Light-Mixed,0.524691358,0.389908257,0.447368421,436,Random Forest
accuracy,0.72859745,0.72859745,0.72859745,0.72859745,Random Forest
macro avg,0.693963415,0.697511626,0.691286806,1647,Random Forest
weighted avg,0.711246505,0.72859745,0.716053901,1647,Random Forest
Blue/Blue-Mixed,0.776536313,0.8896,0.829231916,625,Gradient Boosting
Dark-Mixed/Brown,0.808681672,0.858361775,0.832781457,586,Gradient Boosting
Green/Light-Mixed,0.598705502,0.424311927,0.496644295,436,Gradient Boosting
accuracy,0.75531269,0.75531269,0.75531269,0.75531269,Gradient Boosting
macro avg,0.727974495,0.724091234,0.719552556,1647,Gradient Boosting
weighted avg,0.740897543,0.75531269,0.742450998,1647,Gradient Boosting
Blue/Blue-Mixed,0.767938931,0.8048,0.7859375,625,Neural Network (MLP)
Dark-Mixed/Brown,0.773584906,0.769624573,0.771599658,586,Neural Network (MLP)
Green/Light-Mixed,0.4400978,0.412844037,0.426035503,436,Neural Network (MLP)
accuracy,0.68852459,0.68852459,0.68852459,0.68852459,Neural Network (MLP)
macro avg,0.660540545,0.66242287,0.661190887,1647,Neural Network (MLP)
weighted avg,0.683160429,0.68852459,0.685561516,1647,Neural Network (MLP)
Blue/Blue-Mixed,0.736754967,0.712,0.724165989,625,Decision Tree
Dark-Mixed/Brown,0.786106033,0.733788396,0.759046778,586,Decision Tree
Green/Light-Mixed,0.41733871,0.474770642,0.444206009,436,Decision Tree
accuracy,0.656952034,0.656952034,0.656952034,0.656952034,Decision Tree
macro avg,0.646733236,0.640186346,0.642472925,1647,Decision Tree
weighted avg,0.669756932,0.656952034,0.662464466,1647,Decision Tree
